River,Site,Date,AFDM (mg),Shell length (mm),Average DO (mg/L)
Rappahannock,D2,"June 7, 2004",2,10.0,0.60
Rappahannock,D2,"June 7, 2004",5,12.0,0.60
Rappahannock,D6,"June 7, 2004",2,7.0,2.22
Rappahannock,D6,"June 7, 2004",2,8.3,2.22
Rappahannock,D6,"June 7, 2004",1,8.8,2.22
Rappahannock,D6,"June 7, 2004",2,9.0,2.22
Rappahannock,D6,"June 7, 2004",1,9.0,2.22
Rappahannock,D6,"June 7, 2004",2,9.0,2.22
Rappahannock,D6,"June 7, 2004",1,9.8,2.22
Rappahannock,D6,"June 7, 2004",8,12.2,2.22
Rappahannock,D7,"June 7, 2004",2,9.0,1.22
Rappahannock,D8,"June 7, 2004",6,10.6,0.49
Rappahannock,M0,"June 7, 2004",1,8.7,3.30
Rappahannock,M0,"June 7, 2004",3,9.0,3.30
Rappahannock,M0,"June 7, 2004",65,21.3,3.30
Rappahannock,M0,"June 7, 2004",61,22.0,3.30
Rappahannock,M0,"June 7, 2004",85,23.3,3.30
Rappahannock,M13,"June 7, 2004",4,9.7,4.60
Rappahannock,M13,"June 7, 2004",48,22.2,4.60
Rappahannock,M13,"June 7, 2004",75,23.4,4.60
Rappahannock,M13,"June 7, 2004",72,24.0,4.60
Rappahannock,M19,"June 7, 2004",1,9.0,3.25
Rappahannock,M5,"June 7, 2004",1,9.0,2.30
Rappahannock,M9,"June 7, 2004",3,8.7,3.60
Rappahannock,M9,"June 7, 2004",4,10.7,3.60
Rappahannock,M9,"June 7, 2004",3,11.0,3.60
Rappahannock,M9,"June 7, 2004",87,24.3,3.60
Rappahannock,S1,"June 7, 2004",1,5.8,4.50
Rappahannock,S1,"June 7, 2004",1,6.3,4.50
Rappahannock,S1,"June 7, 2004",1,7.6,4.50
Rappahannock,S1,"June 7, 2004",3,9.1,4.50
Rappahannock,S1,"June 7, 2004",38,17.5,4.50
Rappahannock,S1,"June 7, 2004",31,17.5,4.50
Rappahannock,S1,"June 7, 2004",44,18.3,4.50
Rappahannock,S1,"June 7, 2004",44,18.4,4.50
Rappahannock,S1,"June 7, 2004",1,8.8,4.50
Rappahannock,S1,"June 7, 2004",48,19.6,4.50
Rappahannock,S1,"June 7, 2004",41,19.8,4.50
Rappahannock,S1,"June 7, 2004",47,19.9,4.50
Rappahannock,S1,"June 7, 2004",53,19.9,4.50
Rappahannock,S1,"June 7, 2004",65,20.0,4.50
Rappahannock,S1,"June 7, 2004",50,20.6,4.50
Rappahannock,S1,"June 7, 2004",54,21.4,4.50
Rappahannock,S1,"June 7, 2004",70,21.8,4.50
Rappahannock,S1,"June 7, 2004",64,22.0,4.50
Rappahannock,S1,"June 7, 2004",80,22.3,4.50
Rappahannock,S10,"June 7, 2004",22,17.7,5.00
Rappahannock,S10,"June 7, 2004",32,18.9,5.00
Rappahannock,S10,"June 7, 2004",29,19.3,5.00
Rappahannock,S10,"June 7, 2004",34,19.5,5.00
Rappahannock,S10,"June 7, 2004",44,19.9,5.00
Rappahannock,S10,"June 7, 2004",45,20.5,5.00
Rappahannock,S10,"June 7, 2004",44,21.1,5.00
Rappahannock,S10,"June 7, 2004",43,21.1,5.00
Rappahannock,S10,"June 7, 2004",41,21.2,5.00
Rappahannock,S10,"June 7, 2004",45,21.2,5.00
Rappahannock,S10,"June 7, 2004",46,21.4,5.00
Rappahannock,S10,"June 7, 2004",43,21.5,5.00
Rappahannock,S10,"June 7, 2004",62,21.8,5.00
Rappahannock,S10,"June 7, 2004",39,22.3,5.00
Rappahannock,S10,"June 7, 2004",54,22.5,5.00
