replicate,ID,worm,exposure,treatment,respiration,size
1,T1_GO_B,W1,hypoxic,hypoxic,123.3417013,37.57
1,T1_GO_M,W2,hypoxic,hypoxic,179.9538326,13.2
1,T1_T6_BG_M,W3,hypoxic,hypoxic,198.9627982,9.14
2,T2_GB_M,W4,hypoxic,hypoxic,140.9719293,17.39
2,T6_T2_OO_B,W5,hypoxic,hypoxic,169.7743839,24.71
4,T10_BO_M,W6,hypoxic,normoxic,51.46266523,14.57
4,T10_BR_M,W7,hypoxic,normoxic,46.87176979,31.67
3,T9_BO_B,W8,hypoxic,normoxic,64.1241589,29.75
3,T9_GB_M,W9,hypoxic,normoxic,69.45653586,15.84
3,T9_OO_M,W10,hypoxic,normoxic,52.2778637,15.74
1,T1_GO_B,W1,normoxic,hypoxic,152.7513948,37.57
1,T1_GO_M,W2,normoxic,hypoxic,141.5351296,13.2
1,T1_T6_BG_M,W3,normoxic,hypoxic,244.5823724,9.14
2,T2_GB_M,W4,normoxic,hypoxic,148.6341448,17.39
2,T6_T2_OO_B,W5,normoxic,hypoxic,152.7513948,24.71
4,T10_BO_M,W6,normoxic,normoxic,158.341861,14.57
4,T10_BR_M,W7,normoxic,normoxic,149.7401924,31.67
3,T9_BO_B,W8,normoxic,normoxic,148.3436385,29.75
3,T9_GB_M,W9,normoxic,normoxic,138.3544601,15.84
3,T9_OO_M,W10,normoxic,normoxic,148.4088239,15.74
